Fecha,Publicacion,Link,Plataforma,Sentimiento,Tema,Relacionado a,Autor
08-02-2021,"Si es así, bienvenido Yaku Pérez a la segunda vuelta.
Sin miedo y sin violencia.
Intercambiemos propuestas.",https://twitter.com/ecuarauz/status/1358882417378009088?s=20,Twitter,Positivo,Democracia,Propuestas,"
@ecuarauz
"
08-02-2021,"Progresismo + Unidad Plurinacional + Socialdemocracia = 70%

El 7 de febrero el pueblo ecuatoriano ya venció.",https://twitter.com/ecuarauz/status/1358880454368190468?s=20,Twitter,Positivo,Ideología,Progresismo,"
@ecuarauz
"
08-02-2021,"Las urnas han sido contundentes y el pueblo nos ha dado una amplia ventaja sobre los otros candidatos. Sin importar cuál sea el representante del continuismo, nuestro proyecto seguirá tendiendo puentes de unidad con los frentes sociales, productivos y progresistas de la Patria.",,Twitter,Positivo,Ideología,Progresismo,"
@ecuarauz
"
07-02-2021,"En http://actas.andresarauz.ec verifica nuestras actas. No vamos a permitir que en el trayecto se modifiquen los resultados. Ponemos a disposición la información para que el pueblo, los observadores nacionales e internacionales puedan proteger la democracia. 
#CuidaTuVoto",https://twitter.com/ecuarauz/status/1358575414113955846?s=20,Twitter,Neutral,Democracia,Actas,"
@ecuarauz
"
07-02-2021,Llegó el Binomio,https://twitter.com/ecuarauz/status/1358562377139163136?s=20,Twitter,Positivo,Democracia,Ganamos,"
@ecuarauz
"
07-02-2021,"¡Ganamos!

Triunfo contundente en todas las regiones de nuestro bello país. Nuestra victoria es de 2 a 1 frente al banquero. 

Felicitaciones al pueblo ecuatoriano por esta fiesta democrática. 

Esperaremos los resultados oficiales para salir a festejar.",https://twitter.com/ecuarauz/status/1358536215893602305?s=20,Twitter,Positivo,Democracia,Ganamos,"
@ecuarauz
"
07-02-2021,"Acudí al Colegio Santo Domingo de Guzmán a recoger mi certificado de presentación.

Solicito al CNE, que de acuerdo al criterio vinculante del Procurador y al derecho constitucional, permita que se respete el derecho constitucional a votar de quienes estén en la fila a las 17h00",https://twitter.com/ecuarauz/status/1358515730380169216?s=20,Twitter,Neutral,Democracia,Votación,"
@ecuarauz
"
07-02-2021,"Invitamos a quienes aún no hayan concurrido a sufragar, lo hagan, para fortalecer la democracia.",https://twitter.com/ecuarauz/status/1358515731730747395?s=20,Twitter,Neutral,Democracia,Votación,"
@ecuarauz
"
07-02-2021,"Pedimos a los ecuatorianos y ecuatorianas que sean pacientes con los resultados finales. Tengamos cuidado con encuestadoras como CEDATOS, seamos prudentes y esperemos los resultados oficiales.",https://twitter.com/ecuarauz/status/1358515733035114497?s=20,Twitter,Neutral,Democracia,Resultados finales,"
@ecuarauz
"
07-02-2021,"Con emoción y orgullo acompañé a votar a mi abuela Flor. Me siento tranquilo y motivado por la asistencia de la ciudadanía a la cita electoral. Es un día de fiesta, de unidad nacional y de esperanza, para poder recuperar el futuro para la patria.",https://twitter.com/ecuarauz/status/1358484481053777922?s=20,Twitter,Neutral,Democracia,Votación,"
@ecuarauz
"
07-02-2021,"Agradezco a todas y todos los patriotas de las Fuerzas Armadas y de la Policía Nacional. Una vez más nos demuestran su vocación de servicio, permitiendo que este importantísimo evento democrático se desarrolle con normalidad y transparencia, que la voluntad del pueblo se cumpla",https://twitter.com/ecuarauz/status/1358462890202791939?s=20,Twitter,Neutral,Democracia,Votación,"
@ecuarauz
"
07-02-2021,"Gracias hermanos soldados de tierra, mar y aire, gracias hermanos policías, tengan la certeza que como primer mandatario del Ecuador garantizaré que su institucionalidad sea respetada y fortalecida como reconocimiento y valoración de su sacrificado trabajo. ¡Viva el Ecuador!",https://twitter.com/ecuarauz/status/1358462892182503428?s=20,Twitter,Neutral,Democracia,Votación,"
@ecuarauz
"
